label	x_train
0	有些坏比款不捐忙不帮成天在网上带节奏带的飞起我他妈恨不得捐钱给你退国籍湖北ld难辞其咎死不足惜但现在不信zhongyang我他妈难道要信你们这群坏比吗这些天的调配和决策难道没有尽力吗啊你就去感染那些不安好心的垃圾吧请远离普通老百姓天佑中华希望疫情早日过去这场战争我们会打赢的！！
0	中央接手之后疫情散播才有好转，信央妈，没有错！中央才是最屌的​
0	据外媒报道，前NBA球星科比·布莱恩特在一场直升机坠机事故中身亡，享年41岁。事故共造成5人死亡。【评】在中国人抗击肺炎疫情的危难时刻，我极其喜欢的NBA篮球巨星科比布莱恩特却遭此不幸，真是世事难料，祝科比一路走好，在天堂里继续打你最喜欢的篮球，给在天堂里的人带去篮球的享受。​
0	前天还在跟外省的朋友嘚瑟过年穿短袖是明智的隔天就开始变冷了我妈跟奶奶说了早餐不用煮我们的之后我每天只能吃图二的牛奶泡燕麦一不小心喝超过100ml就拉肚子我太难了年前做了一波雪花酥和牛轧糖想着给我妈送人我奶奶爸妈大晚上都在帮我打包牛轧糖结果因为这疫情没人串门只能默默留着每天的娱乐除了在房间煲剧就是在客厅唱k日子真的堪比我爸做的芋糖真的太好吃了图六最近每天晚上的宵夜都是红酒配大闸蟹还真有点腻了为了杜绝晚睡我明晚得喝多点今年放假的这几天已经把爱奇艺能看的电影都给刷了一遍恋爱请响铃这部韩剧真的太甜了大家不要看不要看不要看不然真的没办法在现实中找到对象的今晚跟我妈伯母堂弟辩论婚否的问题女生真的太难了为什么老子现在就处于一定要找对象的阶段呢？！？！
0	比起因为这次疫情而受影响的国民经济、不得不推迟的各种计划，我更不平的是那些在抗疫一线倒下的平凡英雄们，他们本来还有很长的人生
0	每一个人出门都要戴口罩，任何人都不要有侥幸心理，哪怕你所在的城市是18线，哪怕你所在的城市还没有病例，哪怕你觉得自己不会这么倒霉被传染。现在是春运期间人口流动非常大，但是你永远不会知道走在你身边的路人从哪里来，接触什么人。​
0	等这次疫情结束后，呼吁广泛提高医生群体护士群体的收入，严惩伤医事件，改革医疗制度，真正让医护群体成为高收入，受保障受尊敬的群体。不然总是在特殊时期狠狠征用这个群体，用爱发光，根本无法让更多的优秀人才进入这个群体。百万程序员常见，百万名医不常见，这本身也是一种错配与浪费。不愿意再看到像陶勇医生这样的名医良医还在租房的新闻。这种现象一直不改，才会深切的损害我们每个人的利益。
0	每个骂zf的人转的图片和视频都是那几个，谁也不知道是真的还是假的。堂堂大国，能在六天建起一座医院，能在08年大地震山路被封时进到每个角落救援，现在这个疫情提供不了充分物资吗？难道国家想让武汉人死光，让疫情扩散吗？这种时候我们小老百姓能做什么？能做的是做好自己，出门带好口罩，有能力就捐助出份力，一直骂当局的我觉得非蠢即坏，哪个灾区没有领导指挥，没有物资从全国派那么多医生去武汉干什么？去感染吗？甚至我觉得你们和民族分裂分子没什么两样，微博用户本科率不过10%我是真的看出来了。就算是真的你骂有什么用呢？冲在前面的是医生，是志愿者，也没看你们做了些什么
0	睡一觉醒来全国已经蔓延成这样了还有多少未被登记的案例唉疫情什么时候结束还要持续多久呢​
1	别再有新增病例了​
0	救命！我怀疑我爸爸无聊疯了，我们晚上没吃饭，结果到了八点多说要吃火锅，然后呢，不吃非要等到十点说吃夜宵求求这场疫情快过去吧，我爸无聊疯了​
0	疫情增加这么多我觉得应该是因为有潜伏期说让不走亲戚不聚会是因为你没办法把握到底别人有没有接触过受感染的人也许别人某天买菜就接触过一个受感染的人而不知道也说不定熟的亲戚和朋友都没办法把握他们是否真的没有被感染更何况不熟的感觉跟他们同台吃饭就是玩命真的熟人都没把握知道他们一天里面会接触到什么人何况不熟的人家提倡说不走亲戚是有道理的你不要觉得说他没去过武汉就万事大吉谁知道他某天是不是与被感染的人接触过
1	一方有难八方支援这几天看到太多逆行而上的人面对疫情我们唯一能做的就只有保护好自己做到不外出不给国家添麻烦武汉加油中国加油​​​
0	看到这话题我真的大部分在武汉读书的大学生晚的都是一月初离开武汉的，我学校算放的晚我还多待了两天9号离开的，那时候报道的都是十几例而且还没有发现人传人现象，谁会想到疫情那么严重，只是正常放假回家，又不是疫情爆发后故意逃离武汉。到现在潜伏期早过了，但是保险起见今天还是登记了县里要求的武汉返乡人员信息，我们这边目前没听说信息泄露，但是看到其他认真配合登记结果却被泄露信息的大学生，感觉有点心寒愤怒，还有一些说在武汉读书/工作的人被泄露信息是为别人好的垃圾，虽然理智上知道别理会，但是看到真的觉得难受，在武汉读书/工作就是原罪吗？
1	网友为抗击新型肺炎捐款超30万次，又上热搜，你为此次疫情做出了什么贡献吗？​
0	“武汉是能过关的！武汉本来就是一个很英雄的城市！”说到武汉，他眼中含着泪花。
0	微博评论区看中国素质教育之任重道远袁隆平院士的大米养活了许多人和许多“嘴”愿这些吃的很饱的嘴，免于肺炎之灾，继续为愚蠢发声！​
1	不可以一直恋爱脑只希望疫情能快点结束大家都平安健康顺利能早点去见我的哥哥​
0	多好的太阳啊，现在完全体会到狗狗的感受了我也好想遛遛啊已经快10天没出过门了阿宅我也表示快闷死了等疫情结束我要重新过个年见那个超级想见的人2镇江​
0	因为疫情摸排工作加班到现在刚刚钻进被窝我就是一个格局很小的人会因为眼前的温暖幸福好久美美等我到一点半，一直在问我何时归家妈妈怕我害怕，自己跑到操场等我远远的看到一个黄色羽绒服我真的要哭了想要全部记下来，希望很久很久以后都不要忘记夏哥说到家以后发微信其实今天没有在组办干活太亲切了总觉得大家现在都在冒着生命危险在一起怎么说呢做值得的事吧，给值得的人晚安啦
0	哎呀！我臉被打的好痛看來妳也是毒蠍子。家人生病時倒是很會，知道要往台灣跑，用台灣的資源，現在拼命踩台灣，這種事也可以拿出來打臉？公佈國籍不是為了羞辱誰，而是為了讓國民了解疫情擴散情況。比如，現在都在關注澳洲、新加坡、馬來西亞的疫情消息，為了判斷病毒是否在天氣熱的地方確實不容易傳染，公佈國籍是方便判斷是境外？還是病毒已在自己國內擴散。更不要說大家都知道台灣沒什麼陸客了，公佈國籍還讓妳感覺受傷了？
1	春节假期为何会延长？是否还会继续延长？社区防控的目的是什么？近期儿童确诊病例增多，是病毒变异了吗？节后返岗的人，是否都需要隔离观察14天？看↓！
1	在家这几天待的，有些人开始有点忘记疫情的严重了吧！一定要提高警惕呀！唉！刚才看到好几个武汉全家感染的帖子，真是害怕呀。大家要多看新闻，做好万全准备，口罩，酒精，多洗手，培养良好习惯。​
0	小日记29日☁️心情一般疫情没啥好转还好像更严重了不知道能不能回哈尔滨了想回去找李思瑶玩每天和里里网上冲浪好快乐打了一天️喝了两个两个奶茶我是不是个废物啊……​
1	这几天宅在家里，每天看着电视里医务工作者奋战在疫情的第一线，深深被感动，我唯一能做的就是画了一幅简笔画，祈祷他们平安归来！向他们致敬！​
1	誠心祝願在武漢的各位同志成功抗疫香港曾經歷過「沙士」疫情，很明白現在您們的心情。只要做好防疫措施，注意個人衞生，勤洗手及消毒。留在家中，盡量不要外出，靜待兩星期渡過潛伏期，相信疫情很快便會過去。努力加油！​
0	疫情什么时候过去啊，我好想去ktv唱lastdance，在家唱根本没内味，没有闪亮的灯球怎么所以暂时将我眼睛闭了起来​
1	疫情过后记得去见想见的人明天和意外永远都不知道哪个先来希望这次疫情赶紧过去春暖花会开.hlw​
1	哪有什么白衣天使，我们只不过就是一群爸爸妈妈眼里的孩子。换了一身衣服与病毒做斗争致敬那些在一线坚守的英雄们，我们在后方努力做好防治工作。
1	不应该，我们每个公民都有义务为国家出一份力，做贡献！那就是宅家，防止疫情扩散！中哥加油！武汉加油！
1	很微薄的一份力量，跟奋战在一线的医生们没法比。但是我希望，我们的正能量越来越多，在每一个人的努力下，好消息也越来越多。早日战胜疫情，让社会恢复正常​
1	疫情无情人有情。我们普通人也帮不上忙，只有好好的在家相互隔离，不给国家添乱，不给疫情再次传播的机会！白衣天使们你们太辛苦了，但是还要继续坚持，白衣天使加油！你们真心是最棒的！武汉加油！中国加油！​
1	盛世只顾歌舞升平，乱世方知平安可贵元旦时国庆时看《流浪地球》《我和我的祖国》更多的是敬畏，感激。疫情当前，重温经典，更多的是感同身受与警醒。​
1	向所有医护人员说一声，你们辛苦了，谢谢你们！
1	我跟我的猫已经躺疯了希望疫情快点过去大家都平平安安，我已经迫不及待上班了，还有，想蹲腿​
0	不见面环境我真的迷茫了希望疫情块点过去我想回学校了​
0	请问现在旌德县也进入疫情一级响应了，农村还可以在家大摆结婚酒席么？这不是加大传染概率么？希望政府部门通知他们取消初六的酒席，地点旌德县版书乡江坑村。
0	每天早上醒来就是关心这件事，湖南从一例到了一百例，国难当头，匹夫有责，望团结一心共同抗新冠!
1	这次的疫情应急反应能力、措施发布、执行和最终结果，是国内各个城市软实力最公平的亮剑，高谈阔论瞎BB都直接忽视，就看怎么做，全国百姓们都睁着眼睛呢！​
0	天天占劳资微博的那些臭傻比所谓的明星鲜肉看你们啥时候死cnmd微博天天整这些东西想看个疫情情况都和实时情况都难​
0	这次疫情过去后，可能会有不少医学生护理生选择不再继续这个职业吧，这个社会令人心寒​
1	刚回家的时候还没有疫情也还没有拔牙今天除夕把堆的照片理了一下今年的愿望是所有人平平安安健健康康开开心心快快乐乐杰瑞年拜托了！2温州·永嘉县​
0	我都乌鸡鲅鱼了到底哪里才有这个该死的口罩买​
0	真觉得那些自以为逃出来就很安全的武汉人很自作聪明。这个病你不靠国家，你自己有办法？你就在武汉呆着，全国资源供你们一个市使用，它不香？你不乱跑，疫情不扩大，就是几十个医生围着你一个人转，不比现在一个医生看你们十几个人有安全感？怎么就想不明白。​
0	这个疫情，突然觉得彤妹儿好孤独啊，她下午跟我说想要个小妹妹跟她一起玩，我就是独生子女，我懂独生子女的孤独与压力！我不想让她重蹈我的覆辙，我动摇了，真的动摇了，生并不可怕，怕的是没有人肯帮我一下！经济的压力！也怕我身体不行，身体太差了！要还是不要呢？微博视频​
1	钟南山：不会因为春运返程出现大传染疫情应该在一周或10天达到高峰
0	等疫情结束，我要找上我喜欢的人跟我一起买买逛逛吃个榴莲，过一天开心的日子！
1	建议国家把这次春节放假延长到正月十五，这样全国就有两周时间减少人员流动，这两周也是一个人感染武汉肺炎的潜伏期，通过这15天的假和人员基本处于静止状态，可以有效降低传染的频次和范围。Auther:周兄​
1	希望疫情快快结束马上去见到想见的人
0	睡不着半夜醒来刷微博看到武汉在下雨武汉的疫情令人揪心...保佑生命在疫情面前实在是微小至极​
0	不能看有些关于疫情的煞笔言论哈不然总感觉在提醒我昨天捐的钱有可能会给他们这种人用简直是脏我钱哈乐观面对​
1	每天看着感染的人数上升，心里真是慌，疫情赶快过去吧，一切早点恢复正常吧！​
1	世界卫生组织：新型冠状病毒疫情不构成国际关注的突发公共卫生事件。谁能解释这其中的深刻含义。估计很多人跟我一样，不太懂啊。​
0	口罩紧张的话，平常用过的口罩，可以根据自身条件，对用过的口罩进行消毒，可以用高温、高浓度酒精等方法。求转发！
0	每天一看新闻都是又气又难过和朋友们在群里互通着疫情信息一下就大年三十了一点过年的心思都没有​
0	疫情这么严峻的时候，居然还聚餐，我是真的很服气，早点回去早点回去，要背后说我就说，随便了我小命要紧。​
1	从武汉爆发的这次新型肺炎疫情可能会带来多少经济损失？对哪些行业会带来影响？
0	分裂成不止两块的我一边是疫情一边是春晚一边是想小文​
0	广西人太惨了吧医疗条件也不是很好真的爆发又会有那么多无辜的人真的希望明天早上醒来疫情控制住了
1	盖茨早在2015年就曾警告冠状病毒危机呼吁全球应对疫情
1	疫情结束你们都给我麻利地来见我​
1	祈愿回向新型肺炎疫情消除，众生平安、健康，消灾延寿。正月初四吉祥南无消灾延寿药师佛南无消灾延寿药师佛南无消灾延寿药师佛药师佛心咒：喋雅他嗡贝堪则贝堪则玛哈贝堪则喇杂萨目嘎喋梭哈药师灌顶真言：南谟薄伽伐帝。鞞杀社。窭噜薜琉璃。钵喇婆。喝罗闍也。怛他揭多耶。阿罗喝帝。三藐三勃陀耶。怛侄他。唵。鞞杀逝。鞞杀逝。鞞杀社。三没揭帝莎诃
1	春节期间，正赶上新型冠状肺炎肆虐，只好在家看电视刷微博咯！希望这次疫情早点过去，也希望我们的医护人员都能够平平安安的微博视频​
0	我好奇世界地图还有哪里没被点亮​
0	瞧见没，没点文化真谈不了恋爱了​​​​​
1	武汉市长:只要有利于疫情控制我们愿意革职以谢天下谁愿意关门，这是实属无奈，不然病毒扩散更快！市长的做法没错，希望武汉人民能理解！
1	人与人之间的依赖关系，我们的身体并不孤立，并不是单独的，我们的身体健康永远取决于其他人所干的事，其他人的选择……​
1	真的永久禁止吧！
0	真有人会以为自己能上网就了解了全部，到现在还能说出“不知人民疾苦”的话，这和我所接触的部分深山里的贫困户的思想是一样的甚至不及，相同的是，他们同样通过一些自己的小道消息或者是自己的被害妄想而被引导不信任和仇视政府，同样表现出极度不满意政府的工作，似乎是觉得没了政府生活会更美好，但是年底核算光是水电路网房的工程人均摊下来也算是受益了几万块，更不用算个人享受政策清单上的数字了，这场肺炎，有人通过自己的网上查阅和微信转发断定政府是在用力计划怎样让所有人都不知道这件事，贫困户的一些恶言谎话是能通过佐证戳破的，是不会被选择相信的，自认为是已经拆穿政府面具的牛人们会想着卖弄炫耀自己侦破的真相，同样觉得你们滑稽的人是更多的。不及的是，大多人心底是明白自己的生活水平是提高了的，只是自己想收获更多利益，而真正整天在网络散布政府是坏蛋的人是真正愚蠢可恶的。这种人我发现了，理解能力比较弱，只能抓取一些话里的词语进行读取，和他们无论说什么，都不会被了解表达的是什么意思，而他们却偏偏喜欢定义一件事，是很单纯的弱智。
0	唉，感觉像武汉这种瞒报导致的疫情大扩散加封城的情况，疫情过后一定要安排全市投放大量的人力物力进行心理疏导和安抚，不然真的很容易滋生报复社会想法。​
0	疫情何时会得到遏制？疾控中心：一周还做不到但我们会尽全力
1	全国人民都在努力啊，科研人员在努力研究病毒，医生不顾自身安危，奋斗在前线……虽然现在网上还是会有一些问责的评论，但是很多人还是非常关心并担心着武汉，希望武汉挺住！武汉加油！此次难关一定能顺利渡过！
0	睡求不戳，思绪千千万。这日子过到眼前来，倒真是越过越苦涩。过年没过好，团年饭感觉在搭命吃，然后还气氛很不好，闹了架，一个大家庭的不对等关系尽收眼底。突然我就想到很多，从近到远了看，疫情蔓延到前途未卜心理状态难调，家庭责任和社会责任到自我释放。有些人活了一辈子，也没能够和自己和解。未来想要逃得很远，想独自过散漫的日子。没想到二十啷当岁还能提未来这个遥远的词语，只是觉得眼前的一切都令我有点无法呼吸了。
0	杨紫遇到黑子不用理会，不给黑子流量，遇到直接拉黑举报。多关注点在疫情控制方面便好，默默守护她便是就好的表现​
1	忽然想起一本书名《霍乱时期的爱情》，就是个名字而已。但全国人民一起各自在家隔离的日子里，在每个家庭都有一些不同的故事。例如经常叫外卖的家庭终于有机会一日三餐有住家饭吃了，例如和蔡先生一起去菜市场买菜；小王子帮忙煮饭、洗碗、拖地板；一家人晚上一起看一部电影;一起关心全国各地的疫情……共克时艰的日子里也有一些热闹繁华时没有的温暖时刻。
1	这不是显而易见的吗​
0	随着疫情的发展，今年的冬训算是提前结束了，现在竟然有点空落落的。橙子的绘本看完老鼠邮差系列，圆白菜小弟系列，现在又开始了大红狗系列。是的他最近迷上了系列书，范本的绘本可能内容指向性太强，他好像看不太懂。可能男孩子的情商发育确实比较慢。​
0	人家要是快的像蜂鸟，安徽就是慢的像树懒，推一步走一步。​
1	一条条看下去太感动了致敬天使们​
1	三年前的手稿随着地球环境的恶化病毒灰尘肆意人类的鼻子进化为了呼吸器只有待在家里靠营养液维持生命听音乐慰藉自己「图一」这段时间感同身受而且觉得以前画得好烂……于是今晚重画了一张​​​最后希望这场疫情早点结束大家加油共渡难关​​​
1	简单吃个年饭，三家三地，北京武汉襄阳，云年饭。希望疫情赶紧过去，大家一切平安​​​
1	净化心灵的美丽之物​​​​​
0	经过这次疫情我终于理解五指山下的猴子
0	总是说喜欢大时代背景下的小人物喜欢用大事件来记录生活满怀期待的
0	考虑到春节后疫情会再次爆发，我又囤了一堆食物，已经做好宅到五月后的准备了。随着全国各地死亡人数增加（现在虽然只有武汉死亡人数每天暴增，那是因为武汉的感染群体已经潜伏了很久，而且相互传播了一个多月了。而全国其他地区的人春节才回家几天，病毒还在潜伏期，现在还持续在失控传播中，爆发时间还没到），恐怖氛围更浓，到时候外卖应该没人敢吃了，送餐员也会变得很少很少。就算有人卖，有人敢吃，也不能确定食材供应商，餐馆人员，送餐员中是否有人已被感染。出去买菜更不安全，这时候去人多密集的地方太容易被感染，而且也不确定超市菜市的工作人员或供货给超市菜市的人是否已被感染。所以，囤食物是接下来很重要的一个问题。如果疫情传播一直没有得到很好的控制，专家对新型冠状病毒一直没有研究出解决方法。可能再过段时间，超市的可储存类食物会被哄抢，就像最近抢口罩一样。我刚刚又在天猫超市买了一堆密封食物（不经过人的手直接接触的那种，买的以前生产的。现在感染的人还很少，快递员都还在正常工作），本来冰箱里的各种生鲜肉类加上煲汤食材，就可以吃两个多月了。现在又买了一堆饺子，汤圆，泡面等速食，还有五谷杂粮，罐头等可以长时间储存的食物。这一下，我就算宅到五六月份也有吃的了，（如果提前吃完就辟谷，哈哈！）听说这个病毒怕高温，随着气温上升，病毒可能会慢慢消失，就像
1	黄斌汉：疫情影响短！整体不改长牛！
0	疫情集散地的华南海鲜市场背后：至今未露面的余氏家族和神秘女人赵红
1	"""如果有来世""""疫情越来越严重，离去的人越来越多。做了一个梦，我在不停的游泳，不知疲惫。然后凌晨四点我醒了，也许是昨晚的酒精让我过于怅惘，发了好久呆。我觉得我挺珍惜我的小命的，这样的岁数活到了三十岁，她年龄永远停留在了二十的芳华。这是我朋友的故事，不停的在我脑海里翻滚。希望所有早早逝去的人来世都可以有着截然不同命运，如果有来世话。"""""""
1	答应我疫情过后谁也别嘲笑谁好吧2滁州·全椒县​
1	希望疫情早点过去，中国加油！​
1	巩义市新型冠状病毒感染的肺炎疫情防控：为什么要对密切接触者进行医学观察14天？
1	除夕快乐！新年第一个愿望是希望这次席卷全国的疫情尽快好转！天佑华夏！愿大家都平安健康！
0	今年像不像零三年，03年非典，伊拉克战争爆发，张国荣去世。疫情、战争、挚爱陨落！​
0	疫情阶段正在放寒假的班主任不容易啊，一天24小时全天候待机，等待回复落实群里的各种通知，疫情阶段正在放寒假的实习药剂师不容易啊，一天回复n➕1遍没有口罩了，自己也得买点备着，关键时期大家都要保护好自己啊，这也是对他人负责的行为！​
1	为河南大学淮河医院和第一附属医院的亲老师们祈福，你们是最美逆行者，一定平安归来再过几年，我们就可以和你们并肩作战武汉不孤单，老师加油，武汉加油，中国加油！
1	"""坚持听从党和政府的指示，打赢这场防疫工作战我分享了【湖南全省上下全力防控新型冠状病毒肺炎疫情】,快来看吧！|"""
1	Monica老师为疫情提供的清理方向会做能量清理的宝宝们一起干起来​
0	大家在家不要光吃喝睡，尽量按考试的节奏起床画画，这个疫情到正月十五左右如果没有大爆发基本就是没事了，到时候肯定大家还得回来参加考试，可不能懈怠！
1	万丰集团捐赠100万元爱心款用于疫情防治
1	看到钟老泪眼婆娑大家一定要重视疫情别到处乱跑别让84岁的老人这么辛苦武汉加油阴霾即将过去
1	作为武汉人的朱一龙用家乡话录制视频，送上最真诚的问候和最有力量的鼓舞：“大家好，我是朱一龙。作为一名武汉人，我时刻都在关注武汉的疫情。我看了很多新闻，也跟在武汉的亲戚朋友打电话。我知道大家最近生活都有很多不便的地方，但是我也知道，我们每一个武汉人，都在努力的保护这座城市。在这里我特别想感谢在这个时间还坚守在自己的岗位让武汉正常运转的人，我也特别感谢所有奋战在一线的医护人员，你们辛苦了。武汉加油，中国加油，一切都会好起来的。”
0	奇怪了，昨晚政府公共号发布的消息，一大早起来人家删了，这发布个疫情和玩呢一样​
0	泪目的夜~因为电影，因为疫情。珍惜眼前，认真处事，快乐生活~​
1	刘建民通过江西省委信息直通车和廉洁江西微信公众号建议江西省委：为了疫情防治需要，建议今后省委及各地召开应对疫情工作会议改为釆用5G网络和VR虚拟现实场景技术通过参加会议人员的个人移动终端方式召开，各级领导外出检查疫情防控工作不打招呼，不要陪同，不配记者，手机自拍，精简人员，減少聚集，务实高效，并以今年全省应对疫情工作会议为开始，今后，全省各级各类会议都要改为釆用5G网络和VR虚拟现实场景技术通过参加会议人员的个人移动终端方式召开，节约与会人员时间，提高会议时效，大幅缩减会议召开费用成本支出。各级领导外出视察检查调研各项工作不打招呼，不要陪同，不配记者，手机自拍，精简人员，減少聚集，务实高效，
0	确诊病例为何急剧增长？疫情是否还存在爆发期？白岩松连线专家答疑
1	【疫情防控甘肃在行动】甘肃援鄂第一批医疗队出征林铎授旗并作动员讲话
0	刚刚电影频道放着烈火英雄，边看边哭，想着最近发生的疫情、最近离世的人。感觉每天早上醒来都是噩耗，我期待他日再睡醒时有好消息的到来。​
1	今天是大年夜，祝福武汉早日摆脱疫情。祝福医务工作者身体健康！祝福我们老百姓都能安居乐业！​
0	平凡人之间的睁眼说瞎话惹来的不过是一地鸡毛，可作为人民信任的国家公职人员，你的睁眼说瞎话，谎报瞒报，惹得全国人民人心惶惶，疫情肆意，你罪该万死！株连九族也不解气！城门失火殃及池鱼！​
1	湖北武汉：抗击疫情的“逆行者”
0	世上哪有什么岁月静好,只是有人替你负重前行。用他人的生命开玩笑，人性何存？把在一线与疫情斗争的同胞置于何处，于心何忍？
1	熬过这次‎疫情‌‎去见‎你想见的​人​去爱你​想爱的人‎‌去看​你想‎看的‌地方​别给‌自己留下​遗憾​等一切​安好‎、我们一起去旅行！Y_Y2三亚​
1	发布会上，湖北省长王晓东表示，疫情发生以来，不少朋友提出了批评，有的还比较尖锐，我理解这是给我们开的苦口良药，都是希望我们把工作做好。感谢大家对我们的监督和批评，希望大家继续对我的工作、对湖北省政府的工作进行监督和批评，我们共同为阻击疫情而战斗​
1	相信大家一起努力，一定可以战胜病毒的。​
0	有点感动哦因为疫情家门口的超市买不到菜。发了个朋友圈。然后晚上我家的厨房是这样的爱你们2合肥​
0	我们与罪恶的距离，人类与恶的距离。​几年十几年后仍然铭记这场疫情这上千条人命我们都清楚杀人的哪里是蝙蝠，诛心的永远是人心，希望疫情过去，上天堂的上天堂下地狱的下地狱，一个都别落下一个也都别想逃。​
